numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
2.0,0.0,96.0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,657.1737545412791
2.0,0.0,60.0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,805.9641136186393
2.0,0.0,90.0,1,0,3,1,4,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,715.5468963413516
5.0,3.0,195.0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,737.456834875394
1.0,0.0,80.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,252.6301395473045
2.0,0.0,109.48771266540643,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,420.7538752056751
4.0,2.0,99.0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,633.729596677395
2.0,0.0,75.0,1,0,3,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,784.2363328854194
2.0,0.0,62.0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,694.5084690086824
3.0,0.0,70.0,0,0,2,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,658.50807759285
2.0,1.0,59.0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,645.2830387184883
1.0,0.0,86.0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,631.6854119972062
2.0,0.0,75.0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,872.7754068291514
2.0,0.0,96.0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,787.3411489573315
1.0,1.0,105.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,216.71716041891668
1.0,0.0,70.0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,459.8213573364
1.0,0.0,41.0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,235.90127693306567
3.0,0.0,100.0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,667.4087493357188
8.0,7.0,289.0,1,0,4,1,0,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,3,1,0,918.0454738154212
1.0,0.0,150.0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,1,0,1164.298924817055
5.0,3.0,78.0,1,0,3,1,0,0,2,2,1,0,1,1,2,0,1,0,1,0,1,1,2,1,1,1458.8174012183113
2.0,0.0,112.0,1,0,3,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,802.6493247956896
4.0,2.0,150.0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,749.6044011492668
2.0,0.0,55.0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,533.586385549095
4.0,2.0,142.0,0,0,3,1,0,0,2,1,1,0,1,1,2,2,0,0,1,1,0,1,1,1,0,2069.6756971158
1.0,0.0,68.0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,2,0,0,337.35405358503004
1.0,0.0,90.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,231.9379900055
2.0,0.0,120.0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,887.0942527421499
5.0,3.0,180.0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1026.9563037365842
4.0,3.0,140.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,2,1,0,894.2409045967764
2.0,0.0,85.0,1,0,1,1,0,0,0,0,1,0,1,1,3,0,1,0,1,1,0,1,1,1,0,938.4752332703824
3.0,1.0,140.0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1214.759265085122
1.0,0.0,109.48771266540643,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,500.18862086575
2.0,0.0,68.0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,558.5543467103907
4.0,0.0,140.0,0,0,4,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,3,1,1,1253.6781896728337
3.0,1.0,98.0,1,0,4,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,3,1,0,952.8048431261532
4.0,2.0,120.0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,679.7932901335093
4.0,2.0,78.0,1,0,4,1,0,0,2,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,857.20139555045
2.0,0.0,110.0,0,0,2,1,0,0,1,1,1,0,1,1,2,0,1,0,1,1,1,0,2,1,0,796.5161540182092
2.0,0.0,120.0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,842.5791503607655
4.0,2.0,120.0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,828.0356828700315
2.0,0.0,85.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,464.4856365533062
1.0,0.0,65.0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1047.6734154174376
