userId,numberOfPeople,numberOfChildren,squareMeters,homeType,heatingTypes,waterHeaterTypes,coolingType,heatingTypeOther,waterHeaterTypeOther,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,HEAT_PUMP,CABLE_BOX,FRIDGE_COMBO,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,POOL_PUMP,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,FLOW_WATER_HEATER,TOASTER,HOME_BATTERY,MICROWAVE,IRON,TABLET,HEATING_FAN,GRILL,DVD,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,OTHERS
dc855763e35ff807b03cea634262f13afc6609d163df5097c70d996bc34c8c81,2,0,75,MULTI_FAMILY,CENTRAL;GAS,FLOW_WATER_HEATER,NONE,,,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0
4ebc9ed29b02045aec5c5714790f06fece00b2478c5a09de8d93c383a04c0f0c,3,0,130,MULTI_FAMILY,OIL;CENTRAL,CENTRAL_HEATING;OIL_HEATING_BOILER,CENTRAL_AIR_CONDITIONER,,,0,3,1,1,0,0,2,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0
912b5c0dce12d56924080e8a517eb992a06a3d5725150812319285083fbe6bce,2,0,95,MULTI_FAMILY,GAS,GAS,CENTRAL_AIR_CONDITIONER,,,0,2,1,2,0,1,3,1,1,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,1,2,1,0,0
cad5e3a2e1861154acb3b132260ce71b576e388e492b6e29af667f29ca9f19ef,3,1,86,SINGLE_FAMILY,GAS,GAS;SOLAR_HEATING,NONE,,,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0
fe0b4c2c46e8e35cad468ce5166e70b786506470cc68da53e1bbe625f30ec645,2,0,56,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0
b774dcafb1f575604c0b38ce153a0f12a06e4ea74a7274154f3a8f56aab2f89b,1,0,54,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,PORTABLE_AIR_CONDITIONER,,,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,2,1,0,1
e14027a3fd5ccb1b4e142b19badb75fbdc68c0cf4d5b4cdbacae1f0ceefe91d5,7,3,220,MULTI_FAMILY,OIL,OIL_HEATING_BOILER,NONE,,,0,3,2,0,0,0,3,3,1,1,2,0,3,2,2,0,0,2,0,2,0,1,0,1,1,1,2,3,0,0
55f3ce8f552fd7b915aa708a4e8c9252f53fc99c505909095e93044ef601245b,2,0,160,SINGLE_FAMILY,OIL;WOOD,OIL_HEATING_BOILER,NONE,,,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,0,1,1,0,0,0,0,1,1,1,0,0
f898b2b3cf87c0102934dd4ae44902f527f6d51af5acdee4322516505d684e42,2,1,69,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0
73e5e1182638766b219cd89c1eaf2eab5abd397e8e8309fbc3b04e46924a338a,1,0,34,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,NONE,,,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1
b6b4e332eab93e8e8c297802b79e6a9e35dc0da98bac295cc801cbab017da5b7,3,1,150,SINGLE_FAMILY,OIL,,NONE,,,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0
46305013bc11312975a3bbc2db25158c6ee30fdc3fc9679dd49157b2a2a71ebd,3,1,80,MULTI_FAMILY,GAS,FLOW_WATER_HEATER,NONE,,,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,2,0,1,0,1,1,1,0,3
b74768da45c69a3da30447b3550fc4185c6d931bc060aa13e55060b30a6b4ade,3,1,125,SINGLE_FAMILY,GAS,GAS;SOLAR_HEATING,NONE,,,0,3,1,0,0,1,3,1,1,1,0,1,1,1,2,1,0,1,0,1,0,3,0,0,1,1,2,1,0,0
fdc8f3edb2e37542d11a72ee96ee4df8cec5bce0575dcfc813631f1c854ac7dc,3,1,220,SINGLE_FAMILY,CENTRAL,GAS,PORTABLE_AIR_CONDITIONER,,,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,3,0,0,0,1,2,1,0,0
6f802ae6e6d05a3542826302af297d2ddcf1431441a2fdf26e7f7565db2a2d8e,3,0,180,SINGLE_FAMILY,GAS,FLOW_WATER_HEATER,NONE,,,0,2,2,0,0,0,1,2,1,1,1,0,2,1,1,2,1,1,0,1,1,2,0,1,1,2,1,1,0,1
384cd2376a215bbaa12b6db462f52fcf67f8a3e0b318ac4e49b5fcb5e736184c,1,0,65,MULTI_FAMILY,CENTRAL,,,,,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1
c93cc3c74763faf79c769f711ab4fb6630f9edaec56079485d7b60cf35ddb911,2,,140,SINGLE_FAMILY,GAS,CENTRAL_HEATING,NONE,,,0,3,1,0,0,1,3,2,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
db4eeaa73410909b2c31930cc629add2db4f417263609b42649358cb63fee813,4,,100,MULTI_FAMILY,OTHER;ELECTRIC;PORTABLE_ELECTRIC,FLOW_WATER_HEATER,NONE,Gasofen,,0,1,1,2,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,2,2,0,0,1,4,1,1,3
86b2641051f7013cccb476c9a533706071f50883437e2fe667722a83f127fa17,2,0,150,SINGLE_FAMILY,OTHER;OIL,OIL_HEATING_BOILER;SOLAR_HEATING,NONE,Holz,,0,2,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,2,1,0,1,1,1,0,0,1
48b7d53fe421faf632aa3ae8b881dfa8efaf9c00c927c2a27b10d9bd8ebe78b2,2,0,140,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0
6fa9a6b3b969da0042567800c8cee0e48b90d47fb63a6182df36404d94797bb6,2,1,81,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
